Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent, 0-15,Male,4-13 nights,1020.973,8167.784,178670.275,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent, 0-15,Female,4-13 nights,3431.026,24017.182,3293784.96,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Male,4-13 nights,6046.589,57024.604,3494049.585,4
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Female,4-13 nights,6839.599,44011.98,5041820.871,2
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Male,4-13 nights,2499.867,17499.069,2298045.376,3
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Male,14-27 nights,311.785,6547.485,155892.5,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Female,1-3 nights,771.373,2314.119,370259.04,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Female,4-13 nights,2475.944,15858.378,1925134.1,3
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Male,4-13 nights,20634.922,130392.633,17529025.14,11
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Female,4-13 nights,5010.091,35070.637,3361083.277,4
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,45-54,Male,4-13 nights,12478.974,67070.996,10336533.86,7
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,45-54,Female,4-13 nights,1707.853,13328.731,1440518.625,2
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Male,1-3 nights,668.492,2005.476,267396.8,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Male,4-13 nights,15048.034,100024.546,11012983.41,8
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Female,1-3 nights,668.492,2005.476,320876.16,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Female,4-13 nights,5664.191,23280.334,2236937.214,2
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Female,14-27 nights,1394.224,19519.136,2356238.56,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,65 & over,Male,14-27 nights,2458.601,54089.222,2458601,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,65 & over,Female,4-13 nights,919.71,6437.97,882921.6,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent, 0-15,Male,4-13 nights,2860.393,20022.751,2764421.538,3
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent, 0-15,Female,4-13 nights,694.473,4861.311,288900.768,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,16-24,Female,4-13 nights,459.9,3219.3,385396.2,1
